google_id,name,dept,h_index,i10index,min_year,max_year,t_publication,t_pubs_citations,highest_citations,mean_of_IF,mean_of_co_authors,num_nsf,t_deflated_nsf,num_nih,t_deflated_nih,Y05yr,KTotal,KDirect,KMediated,Chi,BetCentrality,PRCentrality,XDIndicator,SchoolRank
--nVNvIAAAAJ,KYLE ANDREW JAMIESON ,CS,26,33,2002,2016,38,8068,3079,1.676,3.605,1,0,0,0,2000,127,5,122,0.12280701754385964,405.3593442605305,0.0001364252268889156,CS,8
-0CQuX8AAAAJ,JINGYI FEI ,BIO,13,14,2007,2016,23,818,234,9.825,5.174,0,0,0,0,2005,98,4,94,0.2631578947368421,1763.096095562331,0.000148133392163329,BIO,14
-0iKXsgAAAAJ,RAMIN RAMEZANI ,CS,6,4,2008,2016,12,127,37,2.633,3.833,0,0,0,0,2005,3,1,2,0.05263157894736842,0,0.00006454881519104996,CS,13
-0nYQVIAAAAJ,NATHAN JB KRAFT ,BIO,31,40,2006,2016,47,4806,855,8.728,11.298,4,537870,0,0,2005,300,11,289,0.08243727598566308,9305.642284245778,0.0003499794244595918,BIO,19
-0ppt6oAAAAJ,YURY O CHERNOFF ,BIO,41,60,1988,2016,73,6428,892,5.783,5.137,3,1335122,0,0,1985,143,4,139,0.08522727272727272,3325.8574013248713,0.00018078016808546667,XD,55
-0rEuLgAAAAJ,CHANGXI ZHENG ,CS,14,15,2005,2016,31,827,161,3.979,3.548,1,198949,0,0,2005,205,5,200,0.17647058823529413,1330.4517677244519,0.00014451572154140573,CS,15
-234SKAAAAAJ,FRANK JAMES STEWART ,BIO,22,27,2004,2016,43,1966,238,8.884,6.116,4,1483015,0,0,2000,161,3,158,0.125,168.15675420462435,0.00015743474109275294,BIO,55
-31-oa0AAAAJ,ERIC A WEBB ,BIO,29,40,1996,2016,41,3671,907,8.871,7.317,10,4949122,0,0,1995,198,10,188,0.12698412698412698,1728.219139396115,0.0003329707812202503,BIO,55
-5DNOLIAAAAJ,ELIZABETH M QUINLAN ,BIO,22,25,1996,2016,26,3371,533,8.837,4.423,1,355573,0,0,1995,74,0,74,0.16417910447761194,0,0,BIO,55
-5LVcdsAAAAJ,MENG SHYAN CHOY ,BIO,11,11,2004,2016,13,314,91,5.203,8.077,0,0,0,0,2000,48,1,47,0.07272727272727272,0,0.00010140303417538121,BIO,34
