"","Source","Target","Type","Id","Label","Interval","Weight"
"1","-0ppt6oAAAAJ","-0ppt6oAAAAJ","Direct","-0ppt6oAAAAJ_-0ppt6oAAAAJ","Direct","",1
"2","-0ppt6oAAAAJ","-0ppt6oAAAAJ","Direct","-0ppt6oAAAAJ_-0ppt6oAAAAJ","Direct","",1
"3","-0ppt6oAAAAJ","-0ppt6oAAAAJ","Direct","-0ppt6oAAAAJ_-0ppt6oAAAAJ","Direct","",1
"4","-6cOYcYAAAAJ","VizsSmEAAAAJ","Direct","-6cOYcYAAAAJ_VizsSmEAAAAJ","Direct","",1
"5","-6cOYcYAAAAJ","-6cOYcYAAAAJ","Direct","-6cOYcYAAAAJ_-6cOYcYAAAAJ","Direct","",1
"6","-6cOYcYAAAAJ","VizsSmEAAAAJ","Direct","-6cOYcYAAAAJ_VizsSmEAAAAJ","Direct","",1
"7","-6cOYcYAAAAJ","-6cOYcYAAAAJ","Direct","-6cOYcYAAAAJ_-6cOYcYAAAAJ","Direct","",1
"8","-6FYTfMAAAAJ","-6FYTfMAAAAJ","Direct","-6FYTfMAAAAJ_-6FYTfMAAAAJ","Direct","",1
"9","-6FYTfMAAAAJ","-6FYTfMAAAAJ","Direct","-6FYTfMAAAAJ_-6FYTfMAAAAJ","Direct","",1
"10","-6FYTfMAAAAJ","-6FYTfMAAAAJ","Direct","-6FYTfMAAAAJ_-6FYTfMAAAAJ","Direct","",1
"11","-aQaHIoAAAAJ","-aQaHIoAAAAJ","Direct","-aQaHIoAAAAJ_-aQaHIoAAAAJ","Direct","",1
"12","-aQaHIoAAAAJ","-aQaHIoAAAAJ","Direct","-aQaHIoAAAAJ_-aQaHIoAAAAJ","Direct","",1
"13","-aQaHIoAAAAJ","-aQaHIoAAAAJ","Direct","-aQaHIoAAAAJ_-aQaHIoAAAAJ","Direct","",1
"14","-Dg42W8AAAAJ","-Dg42W8AAAAJ","Direct","-Dg42W8AAAAJ_-Dg42W8AAAAJ","Direct","",1
"15","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"16","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"17","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"18","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"19","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"20","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"21","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"22","-EXWOU0AAAAJ","-EXWOU0AAAAJ","Direct","-EXWOU0AAAAJ_-EXWOU0AAAAJ","Direct","",1
"23","-GT5PAkAAAAJ","-GT5PAkAAAAJ","Direct","-GT5PAkAAAAJ_-GT5PAkAAAAJ","Direct","",1
"24","-GT5PAkAAAAJ","-GT5PAkAAAAJ","Direct","-GT5PAkAAAAJ_-GT5PAkAAAAJ","Direct","",1
"25","-GT5PAkAAAAJ","-GT5PAkAAAAJ","Direct","-GT5PAkAAAAJ_-GT5PAkAAAAJ","Direct","",1
"26","-H7Y-VUAAAAJ","-H7Y-VUAAAAJ","Direct","-H7Y-VUAAAAJ_-H7Y-VUAAAAJ","Direct","",1
"27","-H7Y-VUAAAAJ","-H7Y-VUAAAAJ","Direct","-H7Y-VUAAAAJ_-H7Y-VUAAAAJ","Direct","",1
"28","-had2Q8AAAAJ","-had2Q8AAAAJ","Direct","-had2Q8AAAAJ_-had2Q8AAAAJ","Direct","",1
"29","-had2Q8AAAAJ","kUwCxIUAAAAJ","Direct","-had2Q8AAAAJ_kUwCxIUAAAAJ","Direct","",1
"30","-had2Q8AAAAJ","-had2Q8AAAAJ","Direct","-had2Q8AAAAJ_-had2Q8AAAAJ","Direct","",1
"31","-HwCwkAAAAAJ","cFbbY_gAAAAJ","Direct","-HwCwkAAAAAJ_cFbbY_gAAAAJ","Direct","",1
"32","-HwCwkAAAAAJ","-HwCwkAAAAAJ","Direct","-HwCwkAAAAAJ_-HwCwkAAAAAJ","Direct","",1
"33","-HwCwkAAAAAJ","-HwCwkAAAAAJ","Direct","-HwCwkAAAAAJ_-HwCwkAAAAAJ","Direct","",1
"34","-HwCwkAAAAAJ","-HwCwkAAAAAJ","Direct","-HwCwkAAAAAJ_-HwCwkAAAAAJ","Direct","",1
"35","-Jbd9DsAAAAJ","-Jbd9DsAAAAJ","Direct","-Jbd9DsAAAAJ_-Jbd9DsAAAAJ","Direct","",1
"36","-Jbd9DsAAAAJ","-Jbd9DsAAAAJ","Direct","-Jbd9DsAAAAJ_-Jbd9DsAAAAJ","Direct","",1
