"","Id","Label","Interval","Weight","Dept","Orientation"
"1","-Jbd9DsAAAAJ","GOPAL GUPTA ",0,2,"CS",""
"2","MwIL3roAAAAJ","BHARAT JAYARAMAN ",0,2,"CS",""
"3","-spRnaQAAAAJ","JAVED ALEXANDER ASLAM ",0,2,"CS",""
"4","6qE0tdAAAAAJ","RONALD L RIVEST ",0,7,"CS",""
"5","-UyfaYEAAAAJ","STANLEY FALKOW ",0,4,"BIO",""
"6","Lb4-GKsAAAAJ","DAVID A RELMAN ",0,4,"BIO",""
"7","puOEoqoAAAAJ","THOMAS M SCHMIDT ",0,6,"BIO",""
"8","01EOkNEAAAAJ","ROEL NUSSE ",0,2,"BIO",""
"9","l5mmRVoAAAAJ","HENK ROELINK ",0,2,"BIO",""
"10","0cy3s0AAAAAJ","RACHEL D GREEN ",0,4,"BIO",""
"11","A0XsdIMAAAAJ","ANDREW D ELLINGTON ",0,4,"BIO",""
"12","Sha9_3YAAAAJ","J MICHAEL CHERRY ",0,4,"BIO",""
"13","0nBysEcAAAAJ","ALFRED KOBSA ",0,1,"CS",""
"14","0RMteS0AAAAJ","SHIVAKANT MISHRA ",0,2,"CS",""
"15","hmq4rGIAAAAJ","LARRY L PETERSON ",0,2,"CS",""
"16","1fEZ_osAAAAJ","BABA C VEMURI ",0,2,"CS",""
"17","pKuBFaQAAAAJ","DEMETRI TERZOPOULOS ",0,3,"CS",""
"18","1h_0s3wAAAAJ","SUSAN KAYE MCCONNELL ",0,1,"BIO",""
"19","y0lYi-cAAAAJ","MICHAEL E DAILEY ",0,1,"BIO",""
"20","1NtRHc4AAAAJ","L THORNE MCCARTY ",0,2,"CS",""
"21","8ys-38kAAAAJ","WILLIAM W COHEN ",0,2,"CS",""
"22","1wq5H9oAAAAJ","ROBERT A WEINBERG ",0,1,"BIO",""
"23","1z3mv7EAAAAJ","LUBERT STRYER ",0,4,"BIO",""
"24","AzdflHYAAAAJ","THEODORE G WENSEL ",0,3,"BIO",""
