"","Source","Target","Type","Id","Label","Interval","Weight"
"1","-5ZxgGsAAAAJ","ca_O-WQAAAAJ","Direct","-5ZxgGsAAAAJ_ca_O-WQAAAAJ","Direct","",1
"2","-6cOYcYAAAAJ","VizsSmEAAAAJ","Direct","-6cOYcYAAAAJ_VizsSmEAAAAJ","Direct","",1
"3","-6cOYcYAAAAJ","ZxXBaswAAAAJ","Direct","-6cOYcYAAAAJ_ZxXBaswAAAAJ","Direct","",1
"4","-6cOYcYAAAAJ","LQ87h3sAAAAJ","Direct","-6cOYcYAAAAJ_LQ87h3sAAAAJ","Direct","",1
"5","-6cOYcYAAAAJ","0Qr2IGwAAAAJ","Direct","-6cOYcYAAAAJ_0Qr2IGwAAAAJ","Direct","",1
"6","-cwEbxUAAAAJ","TkayRqQAAAAJ","Direct","-cwEbxUAAAAJ_TkayRqQAAAAJ","Direct","",1
"7","-DEyRIgAAAAJ","-had2Q8AAAAJ","Direct","-DEyRIgAAAAJ_-had2Q8AAAAJ","Direct","",1
"8","-GT5PAkAAAAJ","q1bkP7AAAAAJ","Direct","-GT5PAkAAAAJ_q1bkP7AAAAAJ","Direct","",1
"9","-had2Q8AAAAJ","LGp68QwAAAAJ","Direct","-had2Q8AAAAJ_LGp68QwAAAAJ","Direct","",1
"10","LGp68QwAAAAJ","0cy3s0AAAAAJ","Direct","LGp68QwAAAAJ_0cy3s0AAAAAJ","Direct","",1
"11","LGp68QwAAAAJ","lRTRxSIAAAAJ","Direct","LGp68QwAAAAJ_lRTRxSIAAAAJ","Direct","",1
"12","-had2Q8AAAAJ","0cy3s0AAAAAJ","Direct","-had2Q8AAAAJ_0cy3s0AAAAAJ","Direct","",1
"13","0cy3s0AAAAAJ","lRTRxSIAAAAJ","Direct","0cy3s0AAAAAJ_lRTRxSIAAAAJ","Direct","",1
"14","-had2Q8AAAAJ","lRTRxSIAAAAJ","Direct","-had2Q8AAAAJ_lRTRxSIAAAAJ","Direct","",1
"15","-had2Q8AAAAJ","C1c54H4AAAAJ","Direct","-had2Q8AAAAJ_C1c54H4AAAAJ","Direct","",1
"16","-HwCwkAAAAAJ","gQ0QCfAAAAAJ","Direct","-HwCwkAAAAAJ_gQ0QCfAAAAAJ","Direct","",1
"17","-HwCwkAAAAAJ","sXpY0CUAAAAJ","Direct","-HwCwkAAAAAJ_sXpY0CUAAAAJ","Direct","",1
"18","-m5wrTkAAAAJ","dShqnssAAAAJ","Direct","-m5wrTkAAAAJ_dShqnssAAAAJ","Direct","",1
"19","-o3I0zUAAAAJ","sflJAhgAAAAJ","Direct","-o3I0zUAAAAJ_sflJAhgAAAAJ","Direct","",1
"20","-OdJO1UAAAAJ","sILsSIsAAAAJ","Direct","-OdJO1UAAAAJ_sILsSIsAAAAJ","Direct","",1
"21","sILsSIsAAAAJ","IeBc5OsAAAAJ","Direct","sILsSIsAAAAJ_IeBc5OsAAAAJ","Direct","",1
"22","-OdJO1UAAAAJ","IeBc5OsAAAAJ","Direct","-OdJO1UAAAAJ_IeBc5OsAAAAJ","Direct","",1
"23","-PWcE1YAAAAJ","8rjreLIAAAAJ","Direct","-PWcE1YAAAAJ_8rjreLIAAAAJ","Direct","",1
"24","-PWcE1YAAAAJ","gqB23VMAAAAJ","Direct","-PWcE1YAAAAJ_gqB23VMAAAAJ","Direct","",1
