"","Id","Label","Interval","Weight","Dept","Orientation"
"1","-0CQuX8AAAAJ","JINGYI FEI ",0,1,"BIO","BIO"
"2","NK7srJYAAAAJ","CHRIS H WIGGINS ",0,1,"BIO","BIO"
"3","-0nYQVIAAAAJ","NATHAN JB KRAFT ",0,3,"BIO","BIO"
"4","JEApEv4AAAAJ","CHRISTY M MCCAIN ",0,3,"BIO","BIO"
"5","AANigvoAAAAJ","ELLEN I DAMSCHEN ",0,6,"BIO","BIO"
"6","-0rEuLgAAAAJ","CHANGXI ZHENG ",0,1,"CS","CS"
"7","r70ags0AAAAJ","DOUG L JAMES ",0,3,"CS","CS"
"8","-234SKAAAAAJ","FRANK JAMES STEWART ",0,1,"BIO","BIO"
"9","RKvl6OoAAAAJ","IRENE LG NEWTON ",0,2,"BIO","BIO"
"10","-31-oa0AAAAJ","ERIC A WEBB ",0,1,"BIO","BIO"
"11","Fz-5bdcAAAAJ","DOUGLAS G CAPONE ",0,1,"BIO","BIO"
"12","-6cOYcYAAAAJ","STEVEN MAXWELL SEITZ ",0,3,"CS","CS"
"13","Db4BCX8AAAAJ","NOAH SNAVELY ",0,6,"CS","CS"
"14","wCxzFrMAAAAJ","YASUTAKA FURUKAWA ",0,3,"CS","CS"
"15","P97vI1EAAAAJ","IRA KEMELMACHER-SHLIZERMAN ",0,1,"CS","CS"
"16","-aQaHIoAAAAJ","GIACOMO BERNARDI ",0,1,"BIO","BIO"
"17","-chjN0MAAAAJ","ROBERT M PRINGLE ",0,1,"BIO","BIO"
"18","tsUKOwYAAAAJ","JUDITH L BRONSTEIN ",0,3,"BIO","BIO"
"19","-cwEbxUAAAAJ","CHRIS BAILEY-KELLOGG ",0,2,"CS","XD"
"20","2X5Wru0AAAAJ","ALAN M FRIEDMAN ",0,2,"BIO","XD"
"21","w1OP2yAAAAAJ","DEVIN J BALKCOM ",0,2,"CS","XD"
"22","-D2TBHUAAAAJ","NOEMIE ELHADAD ",0,2,"BIO","XD"
"23","-E5k6m4AAAAJ","GIL ZUSSMAN ",0,4,"CS","CS"
"24","FM3vRPgAAAAJ","DAN RUBENSTEIN ",0,5,"CS","CS"
"25","QH90248AAAAJ","ALON EFRAT ",0,5,"CS","CS"
"26","xe0eVksAAAAJ","PANKAJ K AGARWAL ",0,5,"CS","CS"
"27","-fxI3cUAAAAJ","SEAN R COLLINS ",0,1,"BIO","BIO"
"28","qRAMJHgAAAAJ","TOBIAS MEYER ",0,1,"BIO","BIO"
"29","-GT5PAkAAAAJ","PAUL ANTHONY FISHWICK ",0,1,"CS","CS"
"30","QclQnxIAAAAJ","BENJAMIN CHAK LOK ",0,1,"CS","CS"
"31","-HwCwkAAAAAJ","MARC S MANGEL ",0,1,"BIO","BIO"
"32","GHMy08gAAAAJ","JOSEPH E MERZ ",0,1,"BIO","BIO"
"33","-iLn_XwAAAAJ","HOPI E HOEKSTRA ",0,10,"BIO","XD"
"34","0SHFWCkAAAAJ","HEIDI S FISHER ",0,1,"BIO","BIO"
"35","TeWDBlIAAAAJ","STEVEN M PHELPS ",0,1,"BIO","BIO"
"36","CaVJjX8AAAAJ","CHELSEA DVORAK SPECHT ",0,7,"BIO","XD"
"37","cI-fi9MAAAAJ","ERICH D JARVIS ",0,12,"BIO","XD"
"38","r5al7kkAAAAJ","GENE E ROBINSON ",0,7,"BIO","XD"
"39","7BM1uyYAAAAJ","SAURABH SINHA ",0,11,"CS","XD"
"40","-IMW-w0AAAAJ","BEICHUAN ZHANG ",0,5,"CS","CS"
"41","CZyWk8kAAAAJ","LIXIA ZHANG ",0,9,"CS","XD"
"42","TsVU8EcAAAAJ","CHRISTOS PAPADOPOULOS ",0,5,"CS","CS"
"43","3_WYcR4AAAAJ","DEBORAH E ESTRIN ",0,11,"CS","CS"
"44","cA28Zs0AAAAJ","TAREK FAROUK ABDELZAHER ",0,16,"CS","CS"
"45","-jW6ADwAAAAJ","BILL TOMLINSON ",0,1,"CS","CS"
"46","6c5cf1wAAAAJ","PHOEBE SENGERS ",0,2,"CS","CS"
"47","-m5wrTkAAAAJ","GAUTAM BISWAS ",0,1,"CS","CS"
"48","NHZdlVkAAAAJ","XENOFON D KOUTSOUKOS ",0,5,"CS","CS"
"49","-o3I0zUAAAAJ","ZHIPING WENG ",0,4,"BIO","BIO"
"50","xYLmV7YAAAAJ","PHILLIP D ZAMORE ",0,4,"BIO","BIO"
"51","8ArX12gAAAAJ","ALEXANDER MEISSNER ",0,8,"BIO","XD"
"52","JOkym8oAAAAJ","HANS A HOFMANN ",0,6,"BIO","BIO"
"53","G-HYm8EAAAAJ","OLIVER J RANDO ",0,5,"BIO","BIO"
"54","-OdJO1UAAAAJ","DANIEL JAMES KLIEBENSTEIN ",0,1,"BIO","BIO"
"55","JQWeCFAAAAAJ","KATAYOON DEHESH ",0,1,"BIO","BIO"
"56","-PWcE1YAAAAJ","RAN CANETTI ",0,2,"CS","CS"
"57","CO7nYfIAAAAJ","DANIEL WICHS ",0,2,"CS","CS"
