"","google_id","year","citations","coauthor_codes"
"1","-0ppt6oAAAAJ",1990,59,"0,0,0,0,0,0,0,0,0,-0ppt6oAAAAJ"
"2","-5ZxgGsAAAAJ",1990,41,"-5ZxgGsAAAAJ"
"3","-5ZxgGsAAAAJ",1990,14,"0,-5ZxgGsAAAAJ,0,0"
"4","-5ZxgGsAAAAJ",1990,64,"2,-5ZxgGsAAAAJ"
"5","-5ZxgGsAAAAJ",1990,97,"-5ZxgGsAAAAJ"
"6","-5ZxgGsAAAAJ",1990,87,"2,-5ZxgGsAAAAJ"
"7","-5ZxgGsAAAAJ",1990,37,"-5ZxgGsAAAAJ,0"
"8","-6cOYcYAAAAJ",1990,5,"2,2,1,1,1,-6cOYcYAAAAJ"
"9","-aQaHIoAAAAJ",1990,123,"-aQaHIoAAAAJ,0"
"10","-aQaHIoAAAAJ",1990,93,"-aQaHIoAAAAJ,0"
"11","-Dg42W8AAAAJ",1990,172,"-Dg42W8AAAAJ,0"
"12","-GT5PAkAAAAJ",1990,13,"-GT5PAkAAAAJ"
"13","-GT5PAkAAAAJ",1990,14,"-GT5PAkAAAAJ"
"14","-GT5PAkAAAAJ",1990,3,"2,1,1,-GT5PAkAAAAJ,1"
"15","-had2Q8AAAAJ",1990,49,"-had2Q8AAAAJ"
"16","-had2Q8AAAAJ",1990,282,"2,-had2Q8AAAAJ,0,0"
"17","-HwCwkAAAAAJ",1990,13,"-HwCwkAAAAAJ"
"18","-HwCwkAAAAAJ",1990,34,"0,0,-HwCwkAAAAAJ,0"
"19","-HwCwkAAAAAJ",1990,16,"-HwCwkAAAAAJ"
"20","-HwCwkAAAAAJ",1990,17,"0,0,-HwCwkAAAAAJ"
"21","-HwCwkAAAAAJ",1990,112,"-HwCwkAAAAAJ"
"22","-HwCwkAAAAAJ",1990,26,"-HwCwkAAAAAJ"
"23","-HwCwkAAAAAJ",1990,22,"0,-HwCwkAAAAAJ"
"24","-HwCwkAAAAAJ",1990,12,"0,-HwCwkAAAAAJ,0"
"25","-HwCwkAAAAAJ",1990,52,"-HwCwkAAAAAJ"
"26","-Jbd9DsAAAAJ",1990,7,"MwIL3roAAAAJ,-Jbd9DsAAAAJ"
"27","-Jbd9DsAAAAJ",1990,40,"MwIL3roAAAAJ,-Jbd9DsAAAAJ"
"28","-LyegNoAAAAJ",1990,19,"-LyegNoAAAAJ,2"
"29","-LyegNoAAAAJ",1990,20,"-LyegNoAAAAJ,2,0"
"30","-m5wrTkAAAAJ",1990,1,"-m5wrTkAAAAJ,1,1,1"
"31","-m5wrTkAAAAJ",1990,2,"1,-m5wrTkAAAAJ,1,1,1"
"32","-m5wrTkAAAAJ",1990,4,"-m5wrTkAAAAJ,1"
"33","-m5wrTkAAAAJ",1990,8,"1,-m5wrTkAAAAJ,1,1,1,1,1"
"34","-m5wrTkAAAAJ",1990,5,"-m5wrTkAAAAJ,1,1"
"35","-PWYRzIAAAAJ",1990,32,"-PWYRzIAAAAJ,0"
"36","-PWYRzIAAAAJ",1990,42,"-PWYRzIAAAAJ,0"
"37","-spRnaQAAAAJ",1990,14,"-spRnaQAAAAJ,6qE0tdAAAAAJ"
"38","-teHhxwAAAAJ",1990,142,"0,-teHhxwAAAAJ,0,0"
"39","-teHhxwAAAAJ",1990,440,"0,-teHhxwAAAAJ"
"40","-teHhxwAAAAJ",1990,223,"0,-teHhxwAAAAJ"
"41","-UyfaYEAAAAJ",1990,73,"0,-UyfaYEAAAAJ,0,0"
"42","-UyfaYEAAAAJ",1990,469,"2,-UyfaYEAAAAJ"
"43","-UyfaYEAAAAJ",1990,395,"Lb4-GKsAAAAJ,0,0,0,0,-UyfaYEAAAAJ"
"44","-UyfaYEAAAAJ",1990,89,"0,-UyfaYEAAAAJ"
"45","-UyfaYEAAAAJ",1990,3,"Lb4-GKsAAAAJ,0,0,0,-UyfaYEAAAAJ"
"46","-UyfaYEAAAAJ",1990,83,"0,0,-UyfaYEAAAAJ"
"47","-UyfaYEAAAAJ",1990,25,"0,0,-UyfaYEAAAAJ"
"48","-UyfaYEAAAAJ",1990,113,"0,0,0,0,0,-UyfaYEAAAAJ,0"
"49","-UyfaYEAAAAJ",1990,176,"0,0,0,0,0,0,0,-UyfaYEAAAAJ"
"50","-UyfaYEAAAAJ",1990,309,"0,-UyfaYEAAAAJ"
"51","-UyfaYEAAAAJ",1990,30,"0,-UyfaYEAAAAJ"
"52","-UyfaYEAAAAJ",1990,958,"Lb4-GKsAAAAJ,0,0,-UyfaYEAAAAJ,puOEoqoAAAAJ"
